snapname,jb_rating,wdlands_rating
08-29_21-00_Fri.jpg,0.03,0.02
08-29_22-00_Fri.jpg,0.04,2.84
08-29_23-00_Fri.jpg,0.03,0.02
08-30_00-00_Sat.jpg,0.02,0.01
08-30_01-00_Sat.jpg,0.03,0.02
08-30_02-00_Sat.jpg,0.04,0.03
08-30_03-00_Sat.jpg,0.05,0.02
08-30_04-00_Sat.jpg,0.04,0.01
08-30_05-00_Sat.jpg,0.04,0.03
08-30_06-00_Sat.jpg,0.05,4.04
08-30_07-00_Sat.jpg,0.81,3.2
08-30_08-00_Sat.jpg,0.14,2.83
08-30_09-00_Sat.jpg,4.67,2.9
08-30_10-00_Sat.jpg,4.35,3.61
08-30_11-00_Sat.jpg,4.77,4.1
08-30_12-00_Sat.jpg,0.67,4.33
08-30_13-00_Sat.jpg,0.79,0.79
08-30_14-00_Sat.jpg,0.15,0.02
08-30_15-00_Sat.jpg,0.36,4.39
08-30_16-00_Sat.jpg,0.54,4.42
08-30_17-00_Sat.jpg,0.32,4.37
08-30_18-00_Sat.jpg,4.6,0.34
08-30_19-00_Sat.jpg,0.65,4.39
08-30_20-00_Sat.jpg,0.05,2.02
08-30_21-00_Sat.jpg,0.03,0.02
08-30_22-00_Sat.jpg,0.02,0.31
08-30_23-00_Sat.jpg,0.03,0.04
08-31_00-00_Sun.jpg,0.04,4.78
08-31_01-00_Sun.jpg,0.04,4.89
08-31_02-00_Sun.jpg,0.04,4.9
08-31_03-00_Sun.jpg,0.04,4.65
08-31_04-00_Sun.jpg,0.04,0.03
08-31_05-00_Sun.jpg,0.03,0.03
08-31_06-00_Sun.jpg,0.04,0.02
08-31_07-00_Sun.jpg,0.59,0.03
08-31_08-00_Sun.jpg,0.72,3.94
08-31_09-00_Sun.jpg,0.09,0.79
08-31_10-00_Sun.jpg,0.07,4.48
08-31_11-00_Sun.jpg,0.09,4.58
08-31_12-00_Sun.jpg,0.05,4.61
08-31_13-00_Sun.jpg,0.09,4.57
08-31_14-00_Sun.jpg,0.07,4.57
08-31_15-00_Sun.jpg,0.47,4.19
08-31_16-00_Sun.jpg,0.35,1.88
08-31_17-00_Sun.jpg,0.4,0.68
08-31_18-00_Sun.jpg,0.35,2.06
08-31_19-00_Sun.jpg,0.65,0.03
08-31_20-00_Sun.jpg,0.04,0.09
08-31_21-00_Sun.jpg,0.04,0.02
08-31_22-00_Sun.jpg,0.03,0.68
08-31_23-00_Sun.jpg,0.02,0.04
09-01_00-00_Mon.jpg,0.02,0.03
09-01_01-00_Mon.jpg,0.03,0.26
09-01_02-00_Mon.jpg,0.03,0.01
09-01_03-00_Mon.jpg,0.03,0.02
09-01_04-00_Mon.jpg,0.03,0.02
09-01_05-00_Mon.jpg,0.03,2.08
09-01_06-00_Mon.jpg,0.03,3.92
09-01_07-00_Mon.jpg,0.71,3.65
09-01_08-00_Mon.jpg,0.24,4.38
09-01_09-00_Mon.jpg,0.31,4.4
09-01_10-00_Mon.jpg,0.32,0.04
09-01_11-00_Mon.jpg,0.17,1.64
09-01_12-00_Mon.jpg,0.36,4.67
09-01_13-00_Mon.jpg,0.41,4.65
09-01_14-00_Mon.jpg,0.48,0.02
09-01_15-00_Mon.jpg,0.39,0.04
09-01_16-00_Mon.jpg,0.39,2.04
09-01_17-00_Mon.jpg,0.9,2.09
09-01_18-00_Mon.jpg,0.42,1.02
09-01_19-00_Mon.jpg,0.46,0.02
09-01_20-00_Mon.jpg,0.05,0.03
09-01_21-00_Mon.jpg,0.04,0.04
09-01_22-00_Mon.jpg,0.03,0.03
09-01_23-00_Mon.jpg,0.03,0.02
09-02_00-00_Tue.jpg,0.03,0.03
09-02_01-00_Tue.jpg,0.04,0.02
09-02_02-00_Tue.jpg,0.03,0.01
09-02_03-00_Tue.jpg,0.03,0.02
09-02_04-00_Tue.jpg,0.04,0.02
09-02_05-00_Tue.jpg,0.03,0.02
09-02_06-00_Tue.jpg,0.04,2.66
09-02_07-00_Tue.jpg,0.07,2.82
09-02_08-00_Tue.jpg,0.17,4.24
09-02_09-00_Tue.jpg,0.13,3.59
09-02_10-00_Tue.jpg,0.5,1.57
09-02_11-00_Tue.jpg,0.25,2.29
09-02_12-00_Tue.jpg,3.0,0.14
09-02_16-00_Tue.jpg,0.65,4.3
09-02_17-00_Tue.jpg,0.98,1.12
09-02_18-00_Tue.jpg,0.69,0.04
09-02_19-00_Tue.jpg,0.45,0.03
09-02_20-00_Tue.jpg,0.08,0.05
09-02_21-00_Tue.jpg,0.05,0.03
09-02_22-00_Tue.jpg,0.03,2.09
09-02_23-00_Tue.jpg,0.04,0.03
09-03_00-00_Wed.jpg,0.03,0.05
09-03_01-00_Wed.jpg,0.05,0.24
09-03_02-00_Wed.jpg,0.05,0.65
09-03_03-00_Wed.jpg,0.03,0.03
09-03_04-00_Wed.jpg,0.04,0.02
09-03_05-00_Wed.jpg,0.04,0.03
09-03_06-00_Wed.jpg,0.04,1.16
09-03_07-00_Wed.jpg,0.98,3.96
09-03_08-00_Wed.jpg,0.65,3.57
09-03_09-00_Wed.jpg,0.05,2.19
09-03_10-00_Wed.jpg,0.11,1.36
09-03_11-00_Wed.jpg,0.05,0.48
09-03_12-00_Wed.jpg,0.77,1.91
09-03_13-00_Wed.jpg,0.34,1.84
09-03_14-00_Wed.jpg,0.05,0.03
09-03_15-00_Wed.jpg,0.53,0.43
09-03_16-00_Wed.jpg,0.15,1.68
09-03_17-00_Wed.jpg,0.25,2.16
09-03_18-00_Wed.jpg,0.2,1.43
09-03_19-00_Wed.jpg,0.81,4.04
09-03_20-00_Wed.jpg,0.04,3.95
09-03_21-00_Wed.jpg,0.04,4.35
09-03_22-00_Wed.jpg,0.03,4.71
09-03_23-00_Wed.jpg,0.02,0.01
09-04_00-00_Thu.jpg,0.03,0.03
09-04_01-00_Thu.jpg,0.03,0.01
09-04_02-00_Thu.jpg,0.03,3.9
09-04_03-00_Thu.jpg,0.04,3.82
09-04_04-00_Thu.jpg,0.03,0.03
09-04_05-00_Thu.jpg,0.04,0.02
09-04_06-00_Thu.jpg,0.03,0.56
09-04_07-00_Thu.jpg,0.4,4.18
09-04_08-00_Thu.jpg,0.91,3.5
09-04_09-00_Thu.jpg,0.16,4.37
09-04_10-00_Thu.jpg,0.17,1.58
09-04_11-00_Thu.jpg,0.44,3.8
09-04_12-00_Thu.jpg,0.85,3.71
